"Year","Population","GrowthRate","Growth"
"2035","12822748","0.0004","27036"
"2030","12795712","0.0009","58356"
"2025","12737356","0.0032","199402"
"2020","12537954","0.0080","488819"
"2015","12049135","0.0101","587871"
"2010","11461264","0.0129","709836"
"2005","10751428","0.0145","746905"
"2000","10004523","0.0169","803529"
"1995","9200994","0.0047","214363"
"1990","8986631","0.0093","406711"
"1985","8579920","0.0107","443779"
"1980","8136141","0.0131","513438"
"1975","7622703","0.0141","516246"
"1970","7106457","0.0142","484677"
"1965","6621780","0.0142","451819"
"1960","6169961","0.0142","421215"
"1955","5748746","0.0142","392354"
"1950","5356392","0","0"
