"Year","Population","GrowthRate","Growth"
"2035","1721096","0.0004","3741"
"2030","1717355","0.0013","10700"
"2025","1706655","0.0051","42907"
"2020","1663748","0.0116","93087"
"2015","1570661","0.0131","98663"
"2010","1471998","0.0042","30197"
"2005","1441801","0.0021","15380"
"2000","1426421","-0.0003","-1807"
"1995","1428228","-0.0003","-1810"
"1990","1430038","0.0061","42586"
"1985","1387452","0.0087","58773"
"1980","1328679","0.0122","78326"
"1975","1250353","0.0137","82114"
"1970","1168239","0.0238","129641"
"1965","1038598","0.0248","119834"
"1960","918764","0.0248","106063"
"1955","812701","0.0248","93794"
"1950","718907","0","0"
