"Year","Population","GrowthRate","Growth"
"2035","1156427","0.0004","2252"
"2030","1154175","0.0001","463"
"2025","1153712","-0.0017","-9584"
"2020","1163296","-0.0009","-5203"
"2015","1168499","0.0007","4051"
"2010","1164448","0.0007","4112"
"2005","1160336","-0.0022","-13123"
"2000","1173459","-0.0058","-34523"
"1995","1207982","-0.0058","-35529"
"1990","1243511","0.0005","3007"
"1985","1240504","0.0031","19011"
"1980","1221493","0.0128","75045"
"1975","1146448","0.0168","91453"
"1970","1054995","0.0234","115034"
"1965","939961","0.0240","105186"
"1960","834775","0.0240","93463"
"1955","741312","0.0240","82978"
"1950","658334","0","0"
