"name","pop","location"
"Moscow","10381222","https://www.google.com/maps/?q=55.7522,37.6156"
"Saint Petersburg","5028000","https://www.google.com/maps/?q=59.9386,30.3141"
"Novosibirsk","1419007","https://www.google.com/maps/?q=55.0415,82.9346"
"Yekaterinburg","1349772","https://www.google.com/maps/?q=56.8519,60.6122"
"Nizhniy Novgorod","1284164","https://www.google.com/maps/?q=56.3287,44.002"
"Samara","1134730","https://www.google.com/maps/?q=53.2001,50.15"
"Omsk","1129281","https://www.google.com/maps/?q=54.9924,73.3686"
"Kazan","1104738","https://www.google.com/maps/?q=55.7887,49.1221"
"Rostov-na-Donu","1074482","https://www.google.com/maps/?q=47.2313,39.7233"
"Chelyabinsk","1062919","https://www.google.com/maps/?q=55.154,61.4291"
"Ufa","1033338","https://www.google.com/maps/?q=54.7431,55.9678"
"Volgograd","1011417","https://www.google.com/maps/?q=48.7194,44.5018"
"Perm","982419","https://www.google.com/maps/?q=58.0105,56.2502"
"Krasnoyarsk","927200","https://www.google.com/maps/?q=56.0184,92.8672"
"Saratov","863725","https://www.google.com/maps/?q=51.5406,46.0086"
"Voronezh","848752","https://www.google.com/maps/?q=51.672,39.1843"
"Tol'yatti","702879","https://www.google.com/maps/?q=53.5303,49.3461"
"Krasnodar","649851","https://www.google.com/maps/?q=45.0448,38.976"
"Ulyanovsk","640680","https://www.google.com/maps/?q=54.3282,48.3866"
"Izhevsk","631038","https://www.google.com/maps/?q=56.8498,53.2045"
"Yaroslavl","606730","https://www.google.com/maps/?q=57.6299,39.8737"
"Barnaul","599579","https://www.google.com/maps/?q=53.3606,83.7636"
"Vladivostok","587022","https://www.google.com/maps/?q=43.1056,131.874"
"Irkutsk","586695","https://www.google.com/maps/?q=52.2978,104.296"
"Khabarovsk","579000","https://www.google.com/maps/?q=48.4827,135.084"
"Khabarovsk Vtoroy","578303","https://www.google.com/maps/?q=48.4378,135.133"
"Orenburg","550204","https://www.google.com/maps/?q=51.7727,55.0988"
"Novokuznetsk","539616","https://www.google.com/maps/?q=53.7557,87.1099"
"Ryazan'","520173","https://www.google.com/maps/?q=54.6269,39.6916"
"Tyumen","519119","https://www.google.com/maps/?q=57.1522,65.5272"
"Lipetsk","515655","https://www.google.com/maps/?q=52.6031,39.5708"
"Penza","512602","https://www.google.com/maps/?q=53.2007,45.0046"
"Naberezhnyye Chelny","509870","https://www.google.com/maps/?q=55.7254,52.4112"
"Kalininskiy","504641","https://www.google.com/maps/?q=59.9967,30.3899"
"Astrakhan","502533","https://www.google.com/maps/?q=46.3497,48.0408"
"Makhachkala","497959","https://www.google.com/maps/?q=42.9764,47.5024"
"Tomsk","485519","https://www.google.com/maps/?q=56.4977,84.9744"
"Kemerovo","477090","https://www.google.com/maps/?q=55.3333,86.0833"
"Tula","468825","https://www.google.com/maps/?q=54.1961,37.6182"
"Kirov","457383","https://www.google.com/maps/?q=58.5966,49.6601"
"Cheboksary","446781","https://www.google.com/maps/?q=56.1322,47.2519"
"Kaliningrad","434954","https://www.google.com/maps/?q=54.7065,20.511"
"Bryansk","427236","https://www.google.com/maps/?q=53.2521,34.3717"
"Ivanovo","420839","https://www.google.com/maps/?q=56.9972,40.9714"
"Magnitogorsk","413351","https://www.google.com/maps/?q=53.4186,59.0472"
"Kursk","409431","https://www.google.com/maps/?q=51.7373,36.1874"
"Tver","400212","https://www.google.com/maps/?q=56.8584,35.9006"
"Nizhny Tagil","381116","https://www.google.com/maps/?q=57.9194,59.965"
"Stavropol'","363064","https://www.google.com/maps/?q=45.0428,41.9734"
"Ulan-Ude","360278","https://www.google.com/maps/?q=51.8272,107.606"
"Arkhangel'sk","356051","https://www.google.com/maps/?q=64.5401,40.5433"
"Belgorod","345289","https://www.google.com/maps/?q=50.6107,36.5802"
"Kurgan","343129","https://www.google.com/maps/?q=55.45,65.3333"
"Kaluga","338978","https://www.google.com/maps/?q=54.5293,36.2754"
"Krasnogvargeisky","337091","https://www.google.com/maps/?q=59.973,30.4761"
"Sochi","327608","https://www.google.com/maps/?q=43.5992,39.7257"
"Orel","324200","https://www.google.com/maps/?q=52.9651,36.0785"
"Volzhskiy","323293","https://www.google.com/maps/?q=48.7858,44.7797"
"Smolensk","320991","https://www.google.com/maps/?q=54.7818,32.0401"
"Murmansk","319263","https://www.google.com/maps/?q=68.9792,33.0925"
"Vladikavkaz","317370","https://www.google.com/maps/?q=43.0367,44.6678"
"Cherepovets","315738","https://www.google.com/maps/?q=59.1333,37.9"
"Vologda","314900","https://www.google.com/maps/?q=59.2239,39.884"
"Vladimir","310024","https://www.google.com/maps/?q=56.1366,40.3966"
"Chita","308500","https://www.google.com/maps/?q=52.0317,113.501"
"Saransk","303394","https://www.google.com/maps/?q=54.1838,45.1749"
"Surgut","300367","https://www.google.com/maps/?q=61.25,73.4167"
"Tambov","290933","https://www.google.com/maps/?q=52.7317,41.4433"
"Yoshkar-Ola","279100","https://www.google.com/maps/?q=56.6388,47.8908"
"Taganrog","279056","https://www.google.com/maps/?q=47.2362,38.8969"
"Kostroma","277656","https://www.google.com/maps/?q=57.7665,40.9269"
"Komsomolsk-on-Amur","275908","https://www.google.com/maps/?q=50.5503,137.01"
"Nal'chik","272800","https://www.google.com/maps/?q=43.4981,43.6189"
"Sterlitamak","267231","https://www.google.com/maps/?q=53.6246,55.9501"
"Petrozavodsk","265025","https://www.google.com/maps/?q=61.7849,34.3469"
"Bratsk","256600","https://www.google.com/maps/?q=56.1325,101.614"
"Orsk","246836","https://www.google.com/maps/?q=51.2049,58.5668"
"Nizhnevartovsk","244937","https://www.google.com/maps/?q=60.9344,76.5531"
"Angarsk","243158","https://www.google.com/maps/?q=52.5367,103.886"
"Mar'ino","243000","https://www.google.com/maps/?q=55.65,37.7167"
"Novorossiysk","241856","https://www.google.com/maps/?q=44.7244,37.7675"
"Khimki","239967","https://www.google.com/maps/?q=55.897,37.4297"
"Yakutsk","235600","https://www.google.com/maps/?q=62.0339,129.733"
"Nizhnekamsk","234297","https://www.google.com/maps/?q=55.6366,51.8245"
"Dzerzhinsk","233126","https://www.google.com/maps/?q=56.2414,43.4554"
"Syktyvkar","230139","https://www.google.com/maps/?q=61.6764,50.8099"
"Staryy Oskol","226977","https://www.google.com/maps/?q=51.2967,37.8417"
"Groznyy","226100","https://www.google.com/maps/?q=43.312,45.6889"
"Shakhty","221312","https://www.google.com/maps/?q=47.7091,40.2144"
"Blagoveshchensk","221296","https://www.google.com/maps/?q=50.2796,127.54"
"Prokop'yevsk","219000","https://www.google.com/maps/?q=53.9059,86.719"
"Rybinsk","216724","https://www.google.com/maps/?q=58.0446,38.8426"
"Vykhino-Zhulebino","216000","https://www.google.com/maps/?q=55.702,37.8118"
