"Year","Population","GrowthRate","Growth"
"2035","1155022","0.0004","2395"
"2030","1152627","0.0007","4226"
"2025","1148401","0.0021","12110"
"2020","1136291","0.0061","33853"
"2015","1102438","0.0076","40841"
"2010","1061597","0.0024","12463"
"2005","1049134","0.0001","286"
"2000","1048848","-0.0027","-14332"
"1995","1063180","-0.0027","-14524"
"1990","1077704","0.0070","37106"
"1985","1040598","0.0111","55866"
"1980","984732","0.0212","98202"
"1975","886530","0.0254","104598"
"1970","781932","0.0314","111866"
"1965","670066","0.0320","97503"
"1960","572563","0.0320","83358"
"1955","489205","0.0320","71204"
"1950","418001","0","0"
