"Year","Population","GrowthRate","Growth"
"2035","993856","0.0004","1907"
"2030","991949","-0.0001","-319"
"2025","992268","-0.0025","-12420"
"2020","1004688","-0.0024","-12257"
"2015","1016945","-0.0008","-3967"
"2010","1020912","0.0010","5257"
"2005","1015655","0.0011","5345"
"2000","1010310","0.0011","5457"
"1995","1004853","0.0011","5427"
"1990","999426","0.0054","26500"
"1985","972926","0.0072","34179"
"1980","938747","0.0122","55130"
"1975","883617","0.0142","60308"
"1970","823309","0.0283","107367"
"1965","715942","0.0298","97655"
"1960","618287","0.0298","84378"
"1955","533909","0.0298","72844"
"1950","461065","0","0"
