City,StationId,Year,AvgMinJanuaryTemp,TenYearMA,Samples
Chelyabinsk,28748,1936,-18.91,-18.91,1
Chelyabinsk,28748,1937,-20.97,-19.94,2
Chelyabinsk,28748,1938,-26.20,-22.03,3
Chelyabinsk,28748,1939,-23.22,-22.32,4
Chelyabinsk,28748,1940,-28.78,-23.62,5
Chelyabinsk,28748,1941,-23.28,-23.56,6
Chelyabinsk,28748,1942,-24.10,-23.64,7
Chelyabinsk,28748,1943,-25.11,-23.82,8
Chelyabinsk,28748,1944,-15.52,-22.90,9
Chelyabinsk,28748,1945,-22.40,-22.85,10
Chelyabinsk,28748,1946,-18.94,-22.85,10
Chelyabinsk,28748,1947,-22.94,-23.05,10
Chelyabinsk,28748,1948,-14.67,-21.90,10
Chelyabinsk,28748,1950,-28.35,-21.70,9
Chelyabinsk,28748,1951,-24.22,-21.80,9
Chelyabinsk,28748,1952,-20.51,-21.41,9
Chelyabinsk,28748,1953,-21.28,-20.98,9
Chelyabinsk,28748,1954,-26.92,-22.25,9
Chelyabinsk,28748,1955,-17.18,-21.67,9
Chelyabinsk,28748,1956,-23.62,-22.19,9
Chelyabinsk,28748,1957,-21.50,-22.03,9
Chelyabinsk,28748,1958,-19.15,-22.53,9
Chelyabinsk,28748,1959,-18.30,-22.10,10
Chelyabinsk,28748,1960,-19.15,-21.18,10
Chelyabinsk,28748,1961,-18.00,-20.56,10
Chelyabinsk,28748,1962,-16.60,-20.17,10
Chelyabinsk,28748,1963,-18.04,-19.85,10
Chelyabinsk,28748,1964,-19.06,-19.06,10
Chelyabinsk,28748,1965,-17.97,-19.14,10
Chelyabinsk,28748,1966,-22.23,-19.00,10
Chelyabinsk,28748,1967,-21.32,-18.98,10
Chelyabinsk,28748,1968,-20.16,-19.08,10
Chelyabinsk,28748,1969,-31.87,-20.44,10
Chelyabinsk,28748,1970,-20.84,-20.61,10
Chelyabinsk,28748,1971,-13.85,-20.19,10
Chelyabinsk,28748,1972,-30.38,-21.57,10
Chelyabinsk,28748,1973,-25.87,-22.36,10
Chelyabinsk,28748,1974,-25.27,-22.98,10
Chelyabinsk,28748,1975,-16.18,-22.80,10
Chelyabinsk,28748,1976,-18.03,-22.38,10
Chelyabinsk,28748,1977,-27.29,-22.97,10
Chelyabinsk,28748,1978,-16.71,-22.63,10
Chelyabinsk,28748,1979,-23.70,-21.81,10
Chelyabinsk,28748,1980,-23.04,-22.03,10
Chelyabinsk,28748,1981,-19.23,-22.57,10
Chelyabinsk,28748,1982,-18.39,-21.37,10
Chelyabinsk,28748,1983,-13.65,-20.15,10
Chelyabinsk,28748,1984,-19.53,-19.57,10
Chelyabinsk,28748,1985,-19.00,-19.86,10
Chelyabinsk,28748,1986,-17.53,-19.81,10
Chelyabinsk,28748,1987,-23.14,-19.39,10
Chelyabinsk,28748,1988,-20.73,-19.79,10
Chelyabinsk,28748,1989,-19.71,-19.40,10
Chelyabinsk,28748,1990,-19.43,-19.03,10
Chelyabinsk,28748,1991,-16.08,-18.72,10
Chelyabinsk,28748,1992,-16.05,-18.49,10
Chelyabinsk,28748,1993,-15.33,-18.65,10
Chelyabinsk,28748,1994,-17.44,-18.44,10
Chelyabinsk,28748,1995,-20.24,-18.57,10
Chelyabinsk,28748,1996,-23.34,-19.15,10
Chelyabinsk,28748,1997,-22.90,-19.12,10
Chelyabinsk,28748,1998,-17.48,-18.80,10
Chelyabinsk,28748,1999,-16.65,-18.49,10
Chelyabinsk,28748,2000,-17.85,-18.34,10
Chelyabinsk,28748,2001,-17.26,-18.45,10
Chelyabinsk,28748,2002,-13.38,-18.19,10
Chelyabinsk,28748,2003,-17.36,-18.39,10
Chelyabinsk,28748,2004,-16.60,-18.31,10
Chelyabinsk,28748,2005,-20.08,-18.29,10
Chelyabinsk,28748,2006,-26.49,-18.61,10
Chelyabinsk,28748,2007,-10.63,-17.38,10
Chelyabinsk,28748,2008,-22.26,-17.86,10
Chelyabinsk,28748,2009,-17.23,-17.91,10
Chelyabinsk,28748,2010,-25.25,-18.65,10
Kazan,27595,1890,-14.46,-14.46,1
Kazan,27595,1891,-25.18,-19.82,2
Kazan,27595,1892,-20.66,-20.10,3
Kazan,27595,1893,-24.45,-21.19,4
Kazan,27595,1894,-14.10,-19.77,5
Kazan,27595,1895,-15.49,-19.06,6
